Question,Answer
"Kỹ thuật ""jewel tone eyes"" là gì?","""Jewel tone eyes"" là kỹ thuật trang điểm mắt sử dụng các màu sắc rực rỡ, lấy cảm hứng từ các loại đá quý như ngọc lục bảo (xanh lá cây đậm), sapphire (xanh dương đậm), ruby (đỏ ruby), amethyst (tím). 

**Cách thực hiện:**

1.  **Chọn màu:** Chọn một hoặc kết hợp 2-3 màu jewel tone.
2.  **Phủ màu:** Phủ màu đậm lên toàn bộ bầu mắt, sau đó dùng màu sáng hơn nhấn vào hốc mắt.
3.  **Tạo chiều sâu:** Dùng cọ blending tán đều để tạo hiệu ứng chuyển màu mượt mà.
4.  **Hoàn thiện:** Kẻ eyeliner và mascara để tăng độ sắc sảo.

Kỹ thuật này giúp đôi mắt trông nổi bật và thu hút.
"
Cách chọn son môi cho tông da lạnh vào mùa hè?,"Chào bạn! Với tông da lạnh vào mùa hè, bạn nên ưu tiên các màu son có undertone xanh hoặc tím. Cụ thể:

1.  **Màu hồng:** Hồng baby, hồng san hô tươi sáng, hồng tím.
2.  **Màu đỏ:** Đỏ lạnh (blue-based red), đỏ cherry.
3.  **Màu tím:** Tím baby, tím hồng.

Những màu này sẽ làm nổi bật làn da trắng xanh, tạo cảm giác tươi tắn và rạng rỡ trong mùa hè. Tránh các màu cam, vàng quá nổi bật vì có thể làm da trông xỉn màu.
"
Làm sao làm sạch cọ sau khi dùng phấn highlight nhũ?,"Chào bạn, việc làm sạch cọ highlight nhũ cần cẩn thận để giữ độ mềm mại và hiệu quả của cọ. Đây là các bước:

1.  **Loại bỏ phấn thừa:** Gõ nhẹ cọ lên mu bàn tay hoặc khăn giấy.
2.  **Sử dụng dung dịch chuyên dụng:** Chọn dung dịch làm sạch cọ hoặc dầu dừa. Nhúng cọ vào dung dịch, xoay nhẹ nhàng.
3.  **Rửa sạch:** Rửa cọ dưới nước ấm cho đến khi nước trong.
4.  **Làm khô:** Vắt nhẹ nước, đặt cọ nằm ngang trên khăn sạch để khô tự nhiên.

Việc này giúp loại bỏ hoàn toàn nhũ, tránh cọ bị vón cục và tăng tuổi thọ.
"
"Kỹ thuật ""draped blush"" là gì?","Kỹ thuật ""draped blush"" là đánh má hồng không chỉ lên gò má mà còn kéo dài lên đến thái dương và thậm chí cả bọng mắt. Thay vì tập trung vào một điểm, bạn tạo một đường cong má hồng mềm mại, giúp khuôn mặt trông thon gọn, nâng cơ và có chiều sâu hơn. Kỹ thuật này đặc biệt phù hợp với những người có khuôn mặt góc cạnh hoặc muốn tạo hiệu ứng ""lift"" cho gương mặt.
"
Cách chọn kem nền cho da dầu vào mùa đông?,"Chào bạn, với da dầu vào mùa đông, việc chọn kem nền cần cân nhắc kỹ để vừa kiểm soát dầu, vừa không gây khô da. 

**Bước 1:** Ưu tiên kem nền dạng lỏng, nhẹ, có ghi chú ""oil-free"" hoặc ""mattifying"".
**Bước 2:** Chọn thành phần chứa silicone giúp kiểm soát dầu tốt hơn.
**Bước 3:** Ưu tiên các loại kem nền có độ che phủ từ trung bình đến cao để che phủ lỗ chân lông.
**Bước 4:** Thử kem nền trên da trước khi mua để đảm bảo màu sắc phù hợp và không gây kích ứng.
"
Làm sao tạo makeup cho buổi tiệc prom ban đêm?,"Để có lớp trang điểm hoàn hảo cho buổi prom đêm, bạn nên tập trung vào đôi mắt và đôi môi.

1.  **Phấn mắt:** Chọn màu mắt nhũ lấp lánh như đồng, vàng hoặc tím. Phủ màu sáng lên bầu mắt, màu đậm hơn ở đuôi mắt và blend kỹ.
2.  **Kẻ mắt:** Kẻ mắt mèo hoặc sử dụng eyeliner màu đậm để tạo điểm nhấn.
3.  **Mascara:** Chải mascara dày và dài.
4.  **Son môi:** Chọn son màu nude, hồng đào hoặc đỏ rượu.
5.  **Highlight & Contour:** Đừng quên highlight vùng gò má và contour để khuôn mặt thêm sắc sảo."
Cách chọn mascara cho người đeo kính?,"Để chọn mascara cho người đeo kính, bạn nên ưu tiên loại mascara chống thấm nước để tránh lem khi kính bị hơi nước hoặc thời tiết ẩm ướt. Chọn mascara có công thức nhẹ, không gây vón cục, giúp mi cong tự nhiên mà không chạm vào kính. Màu đen hoặc nâu sẫm sẽ rõ ràng nhất khi nhìn qua kính. Tránh dùng mascara quá nhiều sợi, vì có thể dễ dàng dính lên tròng kính.
"
Làm sao giữ makeup đẹp khi đi trượt tuyết?,"Để giữ lớp makeup bền đẹp khi trượt tuyết, bạn cần chuẩn bị kỹ lưỡng:

1. **Dưỡng ẩm:** Da thiếu nước dễ bị khô và bong tróc, làm lớp makeup nhanh xuống.
2. **Primer:** Tạo lớp nền khóa ẩm, giúp makeup bám dính tốt hơn.
3. **Makeup chống nước:** Sử dụng kem nền, phấn mắt, mascara và son môi waterproof.
4. **Setting spray:** Xịt khóa lớp makeup, tăng độ bền và chống thấm nước.
5. **Tránh makeup quá dày:** Lớp makeup dày dễ bị chảy và lem khi gặp nhiệt độ cao hoặc mồ hôi.
"
"Kỹ thuật ""color block eyes"" là gì?","Kỹ thuật ""color block eyes"" (trang điểm mắt khối màu) là xu hướng sử dụng những khối màu đậm, tương phản được tô liền mạch trên bầu mắt, tạo hiệu ứng hình học mạnh mẽ. 

**Cách thực hiện:**

1.  Chọn 2-3 màu mắt tương phản (ví dụ: xanh dương & cam, tím & vàng).
2.  Dùng cọ phẳng, tô một màu lên phần bầu mắt trên, màu còn lại lên phần bầu mắt dưới, tạo đường phân chia rõ ràng.
3.  Có thể thêm màu thứ ba vào góc mắt hoặc hốc mắt để tăng chiều sâu.

Kỹ thuật này giúp đôi mắt trông nổi bật, cá tính và là cách tuyệt vời để thể hiện sự sáng tạo.
"
Cách chọn bronzer cho tông da trung tính?,"Với tông da trung tính, bạn may mắn vì có thể thử nhiều loại bronzer khác nhau! Hãy tìm các sắc thái bronzer có undertone ấm áp hoặc trung tính, tránh các màu quá cam hoặc quá lạnh. 

**Bước 1:** Chọn màu bronzer sẫm hơn tông da tự nhiên của bạn 1-2 tông.
**Bước 2:** Ưu tiên các màu như đào, caramel hoặc nâu vàng.
**Bước 3:** Thử bronzer lên đường quai hàm để đảm bảo màu hòa hợp với da.
"
Làm sao tạo makeup cho buổi tiệc nướng gia đình?,"Chào bạn, để có một lớp trang điểm phù hợp cho buổi tiệc nướng gia đình, bạn nên ưu tiên sự tự nhiên, thoải mái.

1.  **Chuẩn bị da:** Dưỡng ẩm kỹ để da căng bóng.
2.  **Nền:** Dùng kem nền mỏng nhẹ, hoặc BB cream để che phủ vừa phải.
3.  **Mắt:** Phấn mắt màu nude hoặc nâu nhạt, chuốt mascara để mở mắt.
4.  **Má:** Hồng đào nhẹ nhàng để có vẻ tươi tắn.
5.  **Môi:** Son dưỡng hoặc son màu cam đất, hồng san hô.

Tránh trang điểm quá đậm để phù hợp với không khí thân mật của buổi tiệc.
"
"Kỹ thuật ""glossy lids"" là gì?","""Glossy lids"" (bờ mi bóng) là kỹ thuật trang điểm mắt tạo hiệu ứng đôi mắt căng mọng, lấp lánh như vừa được phủ sương. 

**Cách thực hiện:**

1.  **Phấn mắt:** Thoa một lớp phấn mắt lì hoặc nhũ nhẹ.
2.  **Son bóng/Gel bóng:** Dùng cọ nhỏ hoặc đầu ngón tay thoa một lớp mỏng son bóng không màu hoặc gel bóng lên bầu mắt, tập trung ở giữa.
3.  **Hoàn thiện:** Có thể thêm chút nhũ mắt để tăng độ lấp lánh.

Kỹ thuật này giúp đôi mắt trông trẻ trung, tươi tắn và thu hút hơn.
"
Cách chọn phấn phủ cho da lão hóa?,"Chào bạn, với da lão hóa, việc chọn phấn phủ cần đặc biệt chú ý để tránh làm lộ nếp nhăn và khô da. 

**Bước 1:** Ưu tiên phấn phủ dạng bột mịn, hoặc phấn nước (cushion) có độ ẩm cao.
**Bước 2:** Chọn phấn có chứa các thành phần dưỡng ẩm như hyaluronic acid, vitamin E.
**Bước 3:** Tránh phấn phủ có nhũ, vì nhũ sẽ làm nổi bật nếp nhăn.
**Bước 4:** Chọn tông màu phấn phù hợp với màu da, không quá sáng hoặc quá tối.
**Lý do:** Da lão hóa thường mỏng và khô, cần được cung cấp độ ẩm và che phủ nhẹ nhàng."
Làm sao tạo makeup cho buổi lễ hội âm nhạc ban ngày?,"Để có makeup phù hợp lễ hội âm nhạc ban ngày, bạn nên ưu tiên sự tươi trẻ, năng động và bền màu.

1.  **Chuẩn bị da:** Dưỡng ẩm kỹ, dùng kem chống nắng.
2.  **Nền:** Chọn foundation/BB cream mỏng nhẹ, che khuyết điểm vừa đủ.
3.  **Mắt:** Phấn mắt màu pastel hoặc nhũ nhẹ, kẻ eyeliner mảnh, mascara chống thấm nước.
4.  **Má:** Phấn má hồng tone cam đào hoặc hồng san hô.
5.  **Môi:** Son tint hoặc son bóng màu tươi tắn.
6.  **Khóa lớp makeup:** Xịt khóa makeup để giữ lớp trang điểm bền lâu.

Lý do: Lễ hội âm nhạc thường diễn ra ngoài trời, cần makeup bền màu và tự nhiên.
"
"Kỹ thuật ""reverse cat eye"" là gì?","Kỹ thuật ""reverse cat eye"" (mắt mèo ngược) là xu hướng trang điểm mắt mới, tập trung vào việc nhấn nhá phần đuôi mắt dưới thay vì viền mắt trên như mắt mèo truyền thống. 

**Cách thực hiện:**

1.  Dùng eyeliner (gel, chì hoặc nước) vẽ một đường mỏng sát đường mi dưới, bắt đầu từ 2/3 đuôi mắt và kéo dài ra ngoài.
2.  Có thể nối đường kẻ này với đường viền mắt trên để tạo hiệu ứng mắt mèo hoàn chỉnh, hoặc giữ riêng để tạo vẻ ngoài tự nhiên, phóng khoáng.

Kỹ thuật này giúp mở rộng và làm sáng mắt, phù hợp với nhiều hình dáng mắt khác nhau.
"
Cách chọn son môi cho da ngăm vào mùa xuân?,"Chào bạn! Với làn da ngăm vào mùa xuân, bạn nên ưu tiên các màu son ấm áp và tươi sáng để khuôn mặt trông rạng rỡ hơn.

**Gợi ý các màu son:**

1.  **Đỏ cam:** Màu đỏ cam tươi tắn sẽ làm nổi bật làn da ngăm.
2.  **Hồng san hô:** Màu hồng san hô nhẹ nhàng, nữ tính và phù hợp với thời tiết xuân.
3.  **Cam đất:** Màu cam đất trầm ấm, tạo cảm giác ấm áp và thanh lịch.
4.  **Nâu đào:** Màu nâu đào dịu nhẹ, giúp đôi môi trông đầy đặn và quyến rũ.

**Lưu ý:** Tránh các màu son quá tối hoặc quá nhạt, vì chúng có thể làm da bạn trông xỉn màu hơn.
"
Làm sao làm sạch beauty blender sau khi dùng phấn mắt đậm?,"Chào bạn, việc làm sạch beauty blender sau khi dùng phấn mắt đậm rất quan trọng để đảm bảo vệ sinh và tuổi thọ của sản phẩm. Đây là các bước thực hiện:

1. **Rửa sạch:** Xả beauty blender dưới vòi nước ấm cho đến khi nước trong.
2. **Sử dụng chất tẩy rửa:** Cho một lượng nhỏ dầu tẩy trang hoặc xà phòng dịu nhẹ lên blender, nhẹ nhàng bóp và xoay để loại bỏ phấn mắt.
3. **Xả lại:** Tiếp tục xả sạch cho đến khi không còn bọt.
4. **Làm khô:** Vắt nhẹ nước và để khô tự nhiên ở nơi thoáng mát.

Việc dùng dầu tẩy trang giúp hòa tan các hạt phấn, đặc biệt là phấn mắt có dầu, hiệu quả hơn.
"
"Kỹ thuật ""monochrome coral"" là gì?","Kỹ thuật ""monochrome coral"" (hồng san hô đơn sắc) là xu hướng trang điểm sử dụng duy nhất một tông màu hồng san hô trên toàn bộ khuôn mặt, tạo nên vẻ ngoài tươi tắn, trẻ trung và hài hòa. 

**Cách thực hiện:**

1.  **Phấn má:** Chọn phấn má hồng san hô làm điểm nhấn.
2.  **Mắt:** Sử dụng phấn mắt cùng tông san hô, tán nhẹ nhàng.
3.  **Môi:** Son môi hồng san hô, có thể dùng son tint để tự nhiên hơn.
4.  **Da:** Có thể dùng chút phấn hồng san hô để tăng độ ửng hồng cho da.

Mục đích là tạo sự liền mạch, không có sự chuyển màu đột ngột, mang lại vẻ đẹp nhẹ nhàng, thanh lịch.
"
Cách chọn primer cho da khô vào mùa hè?,"Chào bạn, với da khô vào mùa hè, primer là bước quan trọng để giữ lớp trang điểm bền và không bị cakey. Hãy chọn primer có kết cấu dạng kem hoặc dầu, chứa các thành phần dưỡng ẩm như hyaluronic acid, glycerin, hoặc dầu thực vật (jojoba, argan). 

**Bước 1:** Ưu tiên các loại primer có chức năng cấp ẩm, làm mềm da.
**Bước 2:** Tránh primer chứa cồn, vì cồn làm da khô hơn.
**Bước 3:** Thoa một lượng nhỏ primer lên vùng da khô sau khi đã dưỡng ẩm đầy đủ.
"
Làm sao tạo makeup cho buổi tiệc thuyền ban ngày?,"Để có lớp trang điểm phù hợp cho buổi tiệc thuyền ban ngày, bạn nên ưu tiên sự tươi tắn và tự nhiên.

1.  **Kem nền:** Chọn loại có độ che phủ nhẹ, chống nước và có chỉ số SPF.
2.  **Mắt:** Sử dụng phấn mắt màu nude hoặc pastel, kết hợp với mascara chống thấm nước.
3.  **Má:** Tô má hồng màu đào hoặc cam san hô để tạo vẻ khỏe khoắn.
4.  **Môi:** Son dưỡng có màu hoặc son tint nhẹ nhàng.
5.  **Khóa lớp trang điểm:** Xịt xịt khóa trang điểm để giữ lớp makeup bền lâu dưới ánh nắng."
"Kỹ thuật ""sculpted brows"" là gì?","Kỹ thuật ""sculpted brows"" (tạo hình chân mày) là phương pháp định hình chân mày sắc sảo, tự nhiên bằng cách kết hợp các kỹ thuật như tỉa, wax, hoặc dùng chỉ để loại bỏ những sợi lông không mong muốn, sau đó dùng bút chì, phấn hoặc gel để tạo khối và vẽ lại hình dáng chân mày mong muốn. 

Mục đích là tạo hiệu ứng chân mày dày dặn, có chiều sâu, và phù hợp với cấu trúc khuôn mặt, giúp khuôn mặt trông thon gọn và có biểu cảm hơn.
"
Cách chọn eyeliner cho makeup sân khấu?,"Để chọn eyeliner cho makeup sân khấu, bạn cần ưu tiên độ bền màu và khả năng lên màu sắc nét. Eyeliner gel hoặc eyeliner nước không lem là lựa chọn tốt nhất vì chúng giữ được màu sắc dưới ánh đèn mạnh và không bị chảy khi diễn. Màu đen tuyền là phổ biến, nhưng bạn có thể thử các màu đậm khác để tạo điểm nhấn. Quan trọng nhất, hãy thử trước để đảm bảo eyeliner không gây kích ứng và phù hợp với phong cách trang điểm tổng thể.
"
Làm sao tạo makeup cho buổi tiệc đính hôn?,"Chào bạn, để có makeup đẹp cho buổi đính hôn, bạn nên ưu tiên sự tinh tế, sang trọng và phù hợp với trang phục.

1.  **Chuẩn bị da:** Dưỡng ẩm kỹ lưỡng để lớp nền mịn màng.
2.  **Nền:** Chọn foundation có độ che phủ vừa phải, tán đều.
3.  **Mắt:** Phấn mắt tông màu ấm như nâu, đồng hoặc champagne. Có thể thêm chút nhũ nhẹ.
4.  **Má:** Sử dụng phấn má hồng đào hoặc hồng san hô để tạo vẻ tươi tắn.
5.  **Môi:** Son màu nude, hồng đào hoặc đỏ cam tùy theo màu da và trang phục.

Lưu ý: Đừng quên khóa lớp makeup bằng xịt khóa để giữ bền màu bạn nhé!
"
Cách chọn phấn mắt cho mắt nâu?,"Chào bạn! Với đôi mắt nâu, bạn rất may mắn vì có thể ""cân"" được nhiều màu phấn mắt khác nhau. Tuy nhiên, để đôi mắt thêm nổi bật, hãy ưu tiên các tông màu ấm như đồng, vàng đồng, cam đất, hoặc các màu trung tính như nâu tây, be. Các màu tím plum, xanh rêu cũng rất tôn mắt nâu. Tránh các màu quá sáng hoặc quá tối gần màu mắt để tránh làm mắt trông xỉn màu.
"
Làm sao làm sạch cọ sau khi dùng son kem?,"Chào bạn, việc vệ sinh cọ sau khi dùng son kem rất quan trọng để đảm bảo vệ sinh và kéo dài tuổi thọ cọ. Đây là các bước thực hiện:

1. **Loại bỏ son thừa:** Dùng khăn giấy hoặc bông gòn lau nhẹ nhàng để loại bỏ lượng son kem còn sót lại trên cọ.
2. **Vệ sinh bằng dung dịch chuyên dụng:** Đổ một lượng nhỏ dung dịch vệ sinh cọ (hoặc dầu dừa/dầu olive) lên lòng bàn tay, xoay nhẹ cọ trên lòng bàn tay để làm tan son.
3. **Rửa sạch:** Rửa cọ dưới nước ấm, nhẹ nhàng bóp để loại bỏ hoàn toàn dung dịch và son.
4. **Làm khô:** Vắt nhẹ nước, dùng khăn sạch thấm khô và để cọ khô tự nhiên, lông cọ hướng xuống dưới.
"
"Kỹ thuật ""negative space liner"" là gì?","Kỹ thuật ""negative space liner"" (kẻ mắt khoảng trống) là xu hướng trang điểm mắt độc đáo, tạo hiệu ứng ấn tượng bằng cách *không* tô đầy toàn bộ đường kẻ mắt. Thay vào đó, bạn kẻ các đường nét rời rạc, tạo ra những khoảng trống hình học trên bầu mắt. 

**Cách thực hiện:**

1.  Sử dụng eyeliner (gel, liquid hoặc pencil) kẻ các đường song song hoặc hình khối theo ý muốn.
2.  Chừa khoảng trống giữa các đường kẻ, tạo điểm nhấn và chiều sâu cho mắt.
3.  Có thể kết hợp với eyeshadow để tăng thêm sự nổi bật.

Kỹ thuật này phù hợp với các dịp đặc biệt, giúp đôi mắt trông nghệ thuật và thu hút.
"
Cách chọn kem nền cho da nhạy cảm vào mùa xuân?,"Chào bạn, việc chọn kem nền cho da nhạy cảm vào mùa xuân cần sự cẩn trọng. Đầu tiên, ưu tiên các sản phẩm có thành phần dịu nhẹ, không chứa hương liệu, cồn, và paraben. Chọn loại kem nền có chỉ số SPF để bảo vệ da khỏi ánh nắng xuân. 

Thứ hai, ưu tiên kết cấu mỏng nhẹ như kem lỏng hoặc cushion để tránh gây bí bách. Cuối cùng, hãy thử sản phẩm trên một vùng da nhỏ trước khi sử dụng toàn mặt để đảm bảo không gây kích ứng.
"
Làm sao tạo makeup cho buổi tiệc công ty ban đêm?,"Để có lớp trang điểm phù hợp buổi tiệc công ty ban đêm, bạn nên tập trung vào đôi mắt và đôi môi.

1.  **Nền:** Chọn kem nền có độ che phủ vừa phải, kết hợp phấn phủ để giữ lớp nền bền vững.
2.  **Mắt:** Sử dụng phấn mắt tông màu tối (nâu, xám, tím) để tạo chiều sâu. Đừng quên kẻ eyeliner và mascara.
3.  **Môi:** Son màu đỏ rượu, hồng đất hoặc cam đất sẽ giúp bạn nổi bật.
4.  **Má:** Thêm chút phấn má hồng để khuôn mặt tươi tắn hơn.

Lưu ý: Ánh sáng yếu nên trang điểm đậm hơn bình thường một chút nhé!
"
"Kỹ thuật ""pop of color"" là gì?","""Pop of color"" là kỹ thuật trang điểm tập trung sử dụng một màu sắc nổi bật, tương phản trên nền trang điểm trung tính (như mắt, môi hoặc má). Thay vì trang điểm toàn diện với nhiều màu sắc, ""pop of color"" tạo điểm nhấn thu hút, giúp khuôn mặt tươi sáng và thể hiện cá tính. Ví dụ, bạn có thể dùng son đỏ tươi với trang điểm mắt và má nhẹ nhàng, hoặc kẻ mắt xanh dương trên nền mắt nude.
"
Cách chọn setting spray cho da hỗn hợp?,"Chào bạn, với da hỗn hợp, việc chọn setting spray cần cân nhắc kỹ để vừa giữ lớp trang điểm bền, vừa kiểm soát dầu thừa ở vùng chữ T. 

**Bước 1:** Ưu tiên các loại setting spray có chứa thành phần kiểm soát dầu như Silica hoặc Zinc PCA.
**Bước 2:** Chọn loại có kết cấu nhẹ, dạng xịt phun sương mịn để tránh gây bí da.
**Bước 3:** Tránh các sản phẩm quá cấp ẩm nếu vùng chữ T của bạn dễ đổ dầu.
**Bước 4:** Thử nghiệm trên một vùng da nhỏ trước khi sử dụng toàn mặt để đảm bảo không gây kích ứng."
Làm sao tạo makeup cho buổi lễ hội Diwali?,"Chào bạn, để có makeup lộng lẫy cho lễ hội Diwali, bạn có thể làm theo các bước sau:

1. **Chuẩn bị da:** Dưỡng ẩm kỹ để lớp nền mịn màng.
2. **Nền:** Chọn foundation lì, che phủ tốt, tán đều.
3. **Mắt:** Sử dụng phấn mắt màu vàng đồng, cam hoặc đỏ, tán nhũ để tạo điểm nhấn. Kẻ eyeliner đen sắc sảo và chuốt mascara.
4. **Má:** Đánh má hồng màu cam đào hoặc hồng san hô.
5. **Môi:** Son đỏ tươi hoặc cam đất sẽ rất hợp với không khí lễ hội.
6. **Highlight:** Đừng quên highlight vùng gò má, sống mũi để khuôn mặt thêm rạng rỡ!
"
"Kỹ thuật ""deconstructed liner"" là gì?","Kỹ thuật ""deconstructed liner"" (kẻ mắt phá cách) là xu hướng trang điểm mắt hiện đại, tạo hiệu ứng mắt sắc sảo nhưng không quá hoàn hảo, cứng nhắc như kẻ mắt thông thường. 

**Cách thực hiện:** Thay vì kẻ một đường viền liền mạch, bạn dùng eyeliner (gel, chì, hoặc nước) tạo các đường nét ngắn, rời rạc dọc theo đường mi mắt. Sau đó, dùng cọ nhỏ hoặc tăm bông tán nhẹ để làm mờ, hòa quyện các đường nét này với nhau. 

**Lý do:** Tạo chiều sâu cho mắt, phù hợp với nhiều hình dáng mắt và mang lại vẻ đẹp tự nhiên, phóng khoáng.
"
